month,revenue,orders
2017-01,127545.67,750
2017-02,271298.65,1653
2017-03,414369.39,2546
2017-04,390952.18,2303
2017-05,567066.73,3546
2017-06,490225.6,3135
2017-07,566403.93,3872
2017-08,646000.61,4193
2017-09,701169.99,4150
2017-10,751140.27,4478
2017-11,1153528.05,7289
2017-12,843199.17,5513
2018-01,1078606.86,7069
2018-02,966510.88,6555
2018-03,1120678.0,7003
2018-04,1132933.95,6798
2018-05,1128836.69,6749
2018-06,1012090.68,6099
2018-07,1027903.86,6159
2018-08,985414.28,6351
