state,revenue,orders,customers
SP,5770266.19,40500,39155
RJ,2055690.45,12350,11917
MG,1819277.61,11354,11001
RS,861802.4,5345,5168
PR,781919.55,4923,4769
SC,595208.4,3546,3449
BA,591270.6,3256,3158
DF,346146.17,2080,2019
GO,334294.22,1957,1895
ES,317682.65,1995,1928
PE,309074.59,1593,1551
CE,266463.97,1279,1258
PA,212027.55,946,922
MT,181441.72,886,856
MA,147807.29,717,700
PB,137834.65,517,504
MS,134421.54,701,681
PI,105272.17,476,464
RN,100728.3,474,464
AL,94195.79,397,387
SE,70289.13,335,329
TO,60007.37,274,267
RO,56975.7,243,231
AM,27596.18,145,140
AC,19586.25,80,76
AP,16141.81,67,66
RR,9039.52,41,40
